rid,graph_1,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r35204,antiimpérial,empire,Adj,Nm,pre-suf,antiXal,NA,X,motiv-sem,des2as
r35231,antifamilial,famille,Adj,Nf,pre-suf,antiXal,NA,X,motiv-sem,des2as
r35408,colistier,liste,Adj,Nf,pre-suf,coXier,NA,X,motiv-sem,des2as
r35441,anti-monacal,moine,Adj,Nm,pre-suf,antiXal,NA,X,motiv-sem,des2as
r35444,anti-monarchique,monarchie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35447,antimorphinique,morphine,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35466,anti-naturel,nature,Adj,Nf,pre-suf,antiXel,NA,X,motiv-sem,des2as
r35468,antinaupathique,naupathie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35476,antinosographique,nosographie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35513,anti-parlementaire,parlement,Adj,Nm,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r35531,anti-philosophique,philosophie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35536,antiphrastique,phrase,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35557,anti-évangélique,Evangile,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35569,anti-poétique,poésie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35590,bipolaire,pôle,Nm,Nm,pre-suf,biXaire,NA,X,motiv-sem,des2as
r35614,antirhumatismal,rhumatisme,Adj,Nm,pre-suf,antiXal,NA,X,motiv-sem,des2as
r35634,anti-républicain,république,Adj,Nf,pre-suf,antiXain,NA,X,motiv-sem,des2as
r35637,anti-révolutionnaire,révolution,Adj,Nf,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r35653,anti-scorbutique,scorbut,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35677,anti-spasmodique,spasme,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35686,antistrophique,strophe,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35691,antisudoral,sueur,Adj,Nf,pre-suf,antiXal,NA,X,motiv-sem,des2as
r35702,anti-symétrique,symétrie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35707,antisystématique,système,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35735,anti-thyroïdien,thyroïde,Adj,Nf,pre-suf,antiXien,NA,X,motiv-sem,des2as
r35737,antithéologique,théologie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35765,antityphique,typhus,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35769,anti-variolique,variole,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35801,anti-économique,économie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35813,antiépidémique,épidémie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r35976,antimorbilleux,rougeole,Adj,Adj,pre-suf,antiXeux,NA,X,motiv-sem,des2as
r37885,anorthite,droit,Nf,Adj,pre-suf,aXite,NA,X,motiv-sem,des2as
r37886,anorthoïte,droit,Nf,Adj,pre-suf,aXite,NA,X,motiv-sem,des2as
r37916,anti-anatomique,anatomie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r37918,anti-aphrodisiaque,appétit sexuel,Adj,Nm,pre-suf,antiXiaque,NA,X,motiv-sem,des2as
r37923,anti-calcique,calcium,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r37930,anti-castriste,Castro,Adj,Npx,pre-suf,antiXiste,NA,X,motiv-sem,des2as
r37939,anti-démocratique,démocrate,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r37943,anti-fusionnel,fusion,Adj,Nf,pre-suf,antiXel,NA,X,motiv-sem,des2as
r37944,anti-féministe,femme,Adj,Nf,pre-suf,antiXiste,NA,X,motiv-sem,des2as
r37955,anti-insurrectionnel,insurrection,Adj,Nf,pre-suf,antiXel,NA,X,motiv-sem,des2as
r37961,anti-odorant,odeur,Adj,Nf,pre-suf,antiXant,NA,X,motiv-sem,des2as
r37964,anti-patriotique,patrie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r37965,anti-patriotique,patriote,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r37967,anti-pelliculaire,pellicule,Adj,Nf,pre-suf,antiXaire,NA,X,motiv-sem,des2as
r37969,anti-psychotique,psychose,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r37970,anti-pédérastique,pédéraste,Adj,Nm,pre-suf,antiXique,NA,X,motiv-sem,des2as
r37971,anti-pédérastique,pédérastie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r37981,anti-soviétique,URSS,Adj,Npx,pre-suf,antiXique,NA,X,motiv-sem,des2as
r37983,anti-syndical,syndicat,Adj,Nm,pre-suf,antiXal,NA,X,motiv-sem,des2as
r37991,anti-viral,virus,Adj,Nm,pre-suf,antiXal,NA,X,motiv-sem,des2as
r37993,anti-émotionnel,émotion,Adj,Nf,pre-suf,antiXel,NA,X,motiv-sem,des2as
r38010,anticastriste,Castro,Adj,Npx,pre-suf,antiXiste,NA,X,motiv-sem,des2as
r38028,antidictatorial,dictateur,Adj,Nm,pre-suf,antiXial,NA,X,motiv-sem,des2as
r38032,antidémocratique,démocrate,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r38036,antifrançais,France,Adj,Npx,pre-suf,antiXais,NA,X,motiv-sem,des2as
r38042,antihémorragique,hémorragie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
r38057,antimétabolite,métabolisme,Nm,Nm,pre-suf,antiXite,NA,X,motiv-sem,des2as
r38058,antinational,nation,Adj,Nf,pre-suf,antiXal,NA,X,simple,des2as
r38073,antipatriotique,patrie,Adj,Nf,pre-suf,antiXique,NA,X,motiv-sem,des2as
