rid,graph_1,lid_2,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r19383,mensuelat,l256217,mois,Nm,Nm,suf,Xelat,NA,X,motiv-sem,des2as
r19401,mentorat,l252348,mentor,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19402,mentoriat,l252348,mentor,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r19409,mercenairariat,l252433,mercenaire,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r19410,mercenairat,l252433,mercenaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19412,mercenairiat,l252433,mercenaire,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r19413,mercenariat,l252433,mercenaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19501,microentrepreneuriat,l253818,microentrepreneur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19559,militairiat,l254334,militaire,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r19560,militanat,l254339,militant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19564,militarat,l254334,militaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19565,militariat,l254332,militaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r19566,militariat,l254334,militaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19575,milliardariat,l254454,milliardaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19578,millionnairat,l254506,millionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19582,millionnariat,l254506,millionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19585,millénariat,l254560,millénaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19620,ministariat,l254913,ministre,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r19621,ministorat,l254913,ministre,Nm,Nm,suf,Xorat,NA,X,simple,des2as
r19622,ministrat,l254913,ministre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19623,ministriat,l254913,ministre,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r19624,ministériat,l254913,ministre,Nm,Nm,suf,Xériat,NA,X,motiv-sem,des2as
r19627,minorat,l254766,mineur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19634,minoritariat,l254978,minoritaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r19642,minutat,l255027,minute,Nm,Nf,suf,Xat,NA,X,simple,des2as
r19685,missionnariat,l255460,missionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19754,modélat,l255984,modèle,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19765,modératorat,l256016,modérateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19803,mollahriat,l256496,mollah,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r19804,mollariat,l256496,mollah,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r19816,monacat,l256158,moine,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19817,monachat,l256158,moine,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19821,monarcat,l256791,monarque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19822,monarchat,l256791,monarque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19837,monitariat,l257182,moniteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19838,moniterat,l257182,moniteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19843,monitorat,l257182,moniteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19844,monitoriat,l257182,moniteur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r19878,monopolat,l257589,monopole,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19901,monseigneurat,l257780,monseigneur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19902,monseignorat,l257780,monseigneur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19903,monsignorat,l257789,monsignore,Nm,Nm,suf,Xat,NA,X,simple,des2as
r19927,monétariat,l257220,monnaie,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r20021,motariat,l260779,motard,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r20101,mousquetariat,l261410,mousquetaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20119,moutonnat,l261604,mouton,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20132,muchirat,l383093,muchir,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20134,muezzinat,l261946,muezzin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20162,municipat,l152100,citoyen,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20163,municipat,l245783,maire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20170,muphtiat,l262450,muphti,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20221,musulmanat,l262892,musulman,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20323,mécénariat,l263719,mécène,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r20324,mécénat,l263719,mécène,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20332,médecinat,l263761,médecin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20334,médiatariat,l263777,média,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r20342,médiatorat,l263806,médiateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20385,mégérat,l264214,mégère,Nm,Nf,suf,Xat,NA,X,simple,des2as
r20402,méliorat,l251842,meilleur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20444,méritariat,l264901,mérite,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r20448,méritorat,l264901,mérite,Nm,Nm,suf,Xorat,NA,X,simple,des2as
r20449,mérétricat,l162815,courtisane,Nm,Nf,suf,Xat,NA,X,simple,des2as
r20450,mérétricat,l264990,mérétrice,Nm,Nf,suf,Xat,NA,X,simple,des2as
r20530,métécat,l265704,métèque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20552,nababat,l265955,nabab,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20654,nazirat,l267271,nazir,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20772,nobilat,l268959,noble,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20775,nobiliat,l268959,noble,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r20840,non-titulariat,l383111,non-titulaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20842,nonagénariat,l269531,nonagénaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20868,notabilat,l270022,notable,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20869,notabiliat,l270022,notable,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r20873,notairat,l270027,notaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20874,notairiat,l270027,notaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20875,notarat,l270027,notaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20876,notariat,l270027,notaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20914,nourriciat,l270230,nourrice,Nm,Nf,suf,Xiat,NA,X,simple,des2as
r20924,nourrissonnat,l270244,nourrisson,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20925,nourriçat,l270230,nourrice,Nm,Nf,suf,Xat,NA,X,simple,des2as
r20940,noviciat,l270409,novice,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r20941,noviçat,l270409,novice,Nm,Nm,suf,Xat,NA,X,simple,des2as
r20992,nutriciat,l270230,nourrice,Nm,Nf,suf,Xiat,NA,X,simple,des2as
r21037,négrariat,l271072,nègre,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r21039,négriat,l271072,nègre,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r21045,néocorat,l271644,néocore,Nm,Nm,suf,Xat,NA,X,simple,des2as
r21056,néphilimat,l383100,néphilim,Nm,Nm,suf,Xat,NA,X,simple,des2as
r21067,népotat,l268034,neveu,Nm,Nm,suf,Xat,NA,X,simple,des2as
r21096,oblationnat,l272347,oblat,Nm,Nm,suf,Xionat,NA,X,motiv-sem,des2as
r21176,octogénariat,l272870,octogénaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r21192,odaliscat,l272980,odalisque,Nm,Nf,suf,Xat,NA,X,simple,des2as
r21193,odalisquat,l272980,odalisque,Nm,Nf,suf,Xat,NA,X,simple,des2as
r21229,officialat,l273195,official,Nm,Nm,suf,Xat,NA,X,simple,des2as
r21231,officianat,l273202,officiant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r21232,officiarat,l273211,officier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r21407,oratorat,l274949,orateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r21514,orphelinat,l275817,orphelin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r21578,ostiariat,l293184,portier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r21658,ouvriérat,l277266,ouvrier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r21700,pachalat,l277790,pacha,Nm,Nm,suf,Xat,NA,X,simple,des2as
r21701,pachalicat,l277790,pacha,Nm,Nm,suf,Xicat,NA,X,simple,des2as
r21769,paladinat,l278282,paladin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r21924,papat,l279665,pape,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22040,parasitariat,l280281,parasite,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r22041,parasitat,l280281,parasite,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22073,parentat,l280555,parent,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22104,paritariat,l280737,paritaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r22119,parlementariat,l280788,parlementaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22165,parrainat,l281019,parrain,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22172,partenairariat,l281082,partenaire,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r22173,partenairat,l281082,partenaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22174,partenairiat,l281082,partenaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22175,partenariat,l281082,partenaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22191,partisanat,l281161,partisan,Nm,Adj,suf,Xat,NA,X,simple,des2as
r22261,pastorat,l281633,pasteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22262,pastoriat,l281633,pasteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22294,paternariat,l300608,père,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r22295,paternat,l300608,père,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22326,patriarcat,l281941,patriarche,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22327,patricianat,l281950,patricien,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22328,patriciat,l281943,patrice,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22330,patriciennat,l281950,patricien,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22340,patronariat,l282017,patron,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r22341,patronat,l282017,patron,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22344,patronnariat,l282017,patron,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r22386,paysannat,l282381,paysan,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22494,pensionnairat,l283064,pensionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22497,pensionnariat,l283064,pensionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22504,pentarchat,l283151,pentarque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22509,peopleariat,l283242,people,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r22527,perceptorat,l283326,percepteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22561,perfectissimat,l283499,perfectissime,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22629,personnat,l283964,personne,Nm,Nf,suf,Xat,NA,X,simple,des2as
r22706,pharaonat,l284824,pharaon,Nm,Nm,suf,Xat,NA,X,simple,des2as
r22734,philosophat,l285078,philosophe,Nm,Nm,suf,Xat,NA,X,simple,des2as
r23011,pilotariat,l286947,pilote,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r23077,pionnariat,l287281,pion,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r23078,pionnariat,l287308,pionnier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r23079,pionnat,l287281,pion,Nm,Nm,suf,Xat,NA,X,simple,des2as
r23080,pionnicat,l287281,pion,Nm,Nm,suf,Xicat,NA,X,simple,des2as
r23128,piratariat,l287534,pirate,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r23141,pissat,l287707,pisser,Nm,V,conv,X,NA,X,simple,des2as
r23256,plagiat,l288239,plagier,Nm,V,conv,X,NA,X,simple,des2as
r23483,plébanat,l290049,pléban,Nm,Nm,suf,Xat,NA,X,simple,des2as
r23486,plébéianat,l290074,plébéien,Nm,Nm,suf,Xat,NA,X,simple,des2as
r23490,plénipotentiariat,l290133,plénipotentiaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r23519,podestariat,l290383,podestat,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r23632,poliçariat,l290998,policier,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r23721,pompariat,l291957,pompier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r23763,pontifat,l279665,pape,Nm,Nm,suf,Xat,NA,X,simple,des2as
r23765,pontifiat,l279665,pape,Nm,Nm,suf,Xat,NA,X,simple,des2as
r23766,pontificat,l279665,pape,Nm,Nm,suf,Xat,NA,X,simple,des2as
r23767,pontificat,l292379,pontife,Nm,Nm,suf,Xicat,NA,X,simple,des2as
r23768,pontificiat,l279665,pape,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r23784,populariat,l284446,peuple,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r23796,porfiriat,l26048,Diaz,Nm,Npm,suf,Xat,NA,X,simple,des2as
r23825,portiorat,l293184,portier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r23881,posthumat,l293544,posthume,Nm,Adj,suf,Xat,NA,X,simple,des2as
r23903,postulanat,l293637,postulant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r23905,postulat,l293643,postuler,Nm,V,conv,X,NA,X,simple,des2as
r23915,potariat,l293729,pote,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r23922,potentat,l299508,puissant,Nm,Adj,suf,Xat,NA,X,simple,des2as
r23987,pouponnat,l294218,poupon,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24043,poétariat,l294577,poète,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r24064,presbytariat,l298687,prêtre,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r24065,presbytérat,l298687,prêtre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24066,presbytérat,l98805,ancien,Nm,Nm,suf,Xat,NA,X,accidentel,des2as
r24067,presbytériat,l298687,prêtre,Nm,Nm,suf,Xiat,NA,X,motiv-sem,des2as
r24068,presbytériat,l98805,ancien,Nm,Nm,suf,Xiat,NA,X,accidentel,des2as
r24105,prieurat,l295219,prieur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24112,primatiat,l295257,primat,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r24117,primiciérat,l295297,primicier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24118,primicériat,l295297,primicier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24119,primipilat,l295309,primipile,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24120,primissariat,l295311,primissier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24123,princessariat,l295358,princesse,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r24125,princiat,l295345,prince,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r24126,principalat,l295371,principal,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24127,principat,l184297,empereur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24128,principat,l295345,prince,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24130,principiat,l184297,empereur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r24133,priorat,l295219,prieur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24189,proconsulat,l295723,proconsul,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24207,procuratorat,l295766,procurateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24208,procuratorat,l295778,procureur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24209,procuratoriat,l295778,procureur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r24219,productariat,l295828,producteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24231,productorat,l295828,producteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24232,productoriat,l295828,producteur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r24242,professariat,l295876,professeur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r24243,professat,l295945,profès,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24244,professerat,l295876,professeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24252,professeurat,l295876,professeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24254,professeuriat,l295876,professeur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r24259,professorat,l295876,professeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24261,professoriat,l295876,professeur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r24269,profitariat,l295912,profit,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r24270,profitariat,l295920,profiteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24275,profiteurat,l295920,profiteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24277,profitorat,l295920,profiteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24308,projetariat,l296043,projeteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24323,prolotariat,l296078,prolo,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r24325,prolétairat,l296102,prolétaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24326,prolétairiat,l296102,prolétaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r24327,prolétariat,l296102,prolétaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
